t_lf,t_solder,MidDieStress,MidDieStress,MidDieStress,MidDieStress,MaxDieStress,MaxDieStress,MaxDieStress,MaxDieStress
,,top2,top5,bot4,bot5,top2,top5,bot4,bot5
0.257,0.054,-23926.82502200000,-14725.711357000000,100307.9898810000,6024.611766000000,-1613.0421540000000,3218.2072180000000,463.72110700000002,5597.220432000000
0.771,0.02,8673.643290000000,-1711.5132980000001,39752.1268980000,1125.6714529999999,672.5437300000000,1656.6274180000000,1063.1643630000001,1192.9334369999999
0.2,0.037,-550.8826080000000,-1976.4918740000001,15673.054736000000,528.788053000000,-269.34429100000000,869.0933480000000,-238.98575299999999,394.58525500000
0.543,0.076,-2899.2886779999999,-2673.6322839999998,3172.166006000000,-1396.9787289999999,757.2209110000000,-0.9159830000000000,71.91051500000000,-1263.751984000000
0.657,0.046,2946.433399000000,144.60944100000000,-32855.64449000000,-1486.2631260000001,19.12938200000000,-280.3736630000000,289.1330990000000,-1350.0401740000000
0.429,0.041,-7561.37893200000,-244.2842530000000,118015.73485399999,6160.471150000000,-495.56732499999998,773.9131770000000,302.5196770000000,6319.475207000000
0.943,0.033,-3922.7031390000002,-4.504074000000000,32439.125854000002,2275.6802200000002,-310.3226150000000,-460.02674800000000,336.23110200000002,2283.3329039999999
0.886,0.05,-608.6345320000000,421.3073280000000,1718.3541180000000,-701.3521530000000,6.81853500000000,-347.95254499999999,54.37358400000000,-635.5213030000000
1,0.067,-655.5324970000000,-46.11421300000000,1633.2204959999999,556.5145120000000,-203.15358100000000,-114.97200700000000,40.899479999999997,555.6767170000001
0.314,0.0710000000000000,-12983.097303000000,-6766.331253000000,107957.9854410000,5833.141518000000,-2187.4415110000000,3137.635391000000,619.2018730000000,5798.58300500000
0.6,0.029,-8245.748616000001,-7905.690096000000,-7393.875435000000,-3789.123026000000,-390.8554730000000,1235.5091490000000,152.78710799999999,-3707.3853700000000
0.829,0.08,-463.16858400000001,-1259.2963159999999,7754.215294000000,-35.455933000000002,-53.73705700000000,558.2924300000000,206.42882399999999,-3.098390000000000
0.714,0.063,-753.0425400000000,-1510.7987579999999,27353.38619900000,-717.848772000000,45.62849600000000,295.8237210000000,-61.295763000000001,-716.2339150000000
0.371,0.024,-6011.239726000000,-1481.8418630000001,20970.211785000000,2160.7271980000000,-1267.057623000000,2164.208266000000,587.3336060000000,1838.2830369999999
0.486,0.059,-885.012646000000,772.352075000000,12286.433994999999,356.61331899999999,-1428.8694129999999,955.9282170000000,53.7057030000000,473.9919020000000
0.2842,0.0263,12241.338841999999,6664.795249000000,-79408.83294900000,-4440.592528000000,2974.287963000000,-6104.074616000000,-1124.0202010000000,-4019.446952000000
0.5789,0.0516,9311.8234870000,7744.118342000000,-3552.3408020000002,3747.7381009999999,97.93770600000001,-942.1845890000000,-198.76633799999999,3467.3589600000000
0.7474,0.0389,-5407.810277000000,1876.1078900000000,-52121.095667000001,-799.2580950000000,-483.8103630000000,-1233.363085000000,-676.5177310000000,-880.1795780000000
0.9158,0.0611,2485.4528799999998,-388.4068770000000,-16753.744448000001,-1088.8811260000000,33.46318800000000,242.9134710000000,-105.22665900000000,-1140.833797000000
0.4526,0.0737,9408.703840000000,-307.26292899999999,-123042.69200000000,-5443.8868309999998,2104.2075470000000,-2916.1131690000002,-559.0984380000000,-5575.176503000000
0.967,0.023,2507.3902779999999,178.926092000000,-18934.159453000000,-1414.2878770000000,467.7261160000000,488.8321040000000,-271.20642600000002,-1413.3420950000000
0.233,0.065,17864.950154999999,13287.759335999999,-89804.98295500000,-5636.743871000000,1598.6911140000000,-2790.5283740000000,-404.6467610000000,-5342.753443000000
0.633,0.078,487.4384670000000,2973.660027000000,28809.173172999999,2561.1235820000002,162.0106200000000,-129.94385199999999,-93.75430400000000,2514.6797640000000
0.8,0.028,-2905.100404000000,2045.9174640000001,-13166.68647900000,481.78579600000000,-175.59615800000000,-1042.1659540000001,-836.4636920000000,397.03757200000001
0.333,0.047,11766.761307000001,4898.144152000000,-80707.14433200000,-4786.4455500000004,-97.27164100000000,723.6274539999999,303.8523870000000,-4714.224909000000
